model_id	origin	path	fragment_status	status_basis	class_count	construct_profile	blocking_constructs	refusal_reason	rmc_verdict	candidate_capabilities	candidate_polarity
rebec-typed-parameter	fixture	frontend/fixtures/general/reject/rebec-typed-parameter.rebeca	refused-by-fragment	gate-verdict	2	reactive-class;known-rebecs;message-server;constructor-arguments	none	A2: a rebec-typed parameter peer	not-measured	initialization;dispatch	negative
rebec-typed-statevar	fixture	frontend/fixtures/general/reject/rebec-typed-statevar.rebeca	refused-by-fragment	gate-verdict	2	reactive-class;known-rebecs;state-vars;message-server;constructor-arguments	none	A1: a rebec-typed state variable of type Consumer	not-measured	initialization;dispatch	negative
send-to-cast-sender	fixture	frontend/fixtures/general/reject/send-to-cast-sender.rebeca	refused-by-fragment	gate-verdict	2	reactive-class;known-rebecs;message-server;constructor-arguments	sender	A3: a send whose receiver is a cast	not-measured	initialization;dispatch	negative
binding-arity	fixture	frontend/fixtures/general/upstream-reject/binding-arity.rebeca	refused-upstream	gate-verdict	2	reactive-class;known-rebecs;message-server;constructor-arguments	none	The Producer knownrebecs type binding of (Consumer) is not applicable for the arguments ()	not-measured	initialization;dispatch	negative
boolean-argument-type	fixture	frontend/fixtures/general/upstream-reject/boolean-argument-type.rebeca	refused-upstream	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments	none	The method Configured(boolean) is undefined for the type Configured	not-measured	initialization;dispatch	negative
initialized-statevar	fixture	frontend/fixtures/general/upstream-reject/initialized-statevar.rebeca	refused-upstream	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments;arithmetic	none	State variables are allowed to be initialized in constructors	not-measured	initialization;dispatch;expression-evaluation	negative
known-rebec-as-value	fixture	frontend/fixtures/general/upstream-reject/known-rebec-as-value.rebeca	refused-upstream	gate-verdict	2	reactive-class;known-rebecs;state-vars;message-server;constructor-arguments	none	The operator = is undefined for the argument type(s) int, Consumer	not-measured	initialization;dispatch	negative
read-sender	fixture	frontend/fixtures/general/upstream-reject/read-sender.rebeca	refused-upstream	gate-verdict	1	reactive-class;state-vars;message-server;constructor-arguments	sender	The operator = is undefined for the argument type(s) int, ReactiveClass	not-measured	initialization;dispatch	negative
send-to-sender	fixture	frontend/fixtures/general/upstream-reject/send-to-sender.rebeca	refused-upstream	gate-verdict	2	reactive-class;known-rebecs;message-server;constructor-arguments	sender	There is no meta data for type ReactiveClass	not-measured	initialization;dispatch	negative
send-to-unknown-rebec	fixture	frontend/fixtures/general/upstream-reject/send-to-unknown-rebec.rebeca	refused-upstream	gate-verdict	2	reactive-class;known-rebecs;message-server;constructor-arguments	none	stranger undeclared	not-measured	initialization;dispatch	negative
undeclared-msgsrv	fixture	frontend/fixtures/general/upstream-reject/undeclared-msgsrv.rebeca	refused-upstream	gate-verdict	2	reactive-class;known-rebecs;message-server;constructor-arguments	none	The method missing(byte) is undefined for the type Consumer	not-measured	initialization;dispatch	negative
ASPIN	upstream	rebeca-lang.org:ASPIN.rebeca	exporter-refused	frontend-verdict	2	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;boolean-operator;local-decl	iteration-for;array;sender;deadline;increment-operator;byte-or-short;non-literal-delay	unsupported by the ReLico general parser bridge: a state variable of type byte[4] in Router (D5 admits boolean, int) 	not-measured	initialization;dispatch;finite-execution;conditional;local-declaration;expression-evaluation	negative
AircraftDoor/AircraftDoor	upstream	lf-verifier-benchmarks:rebeca/AircraftDoor/AircraftDoor.rebeca	inside-fragment	frontend-verdict	5	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
Alarm/Alarm	upstream	lf-verifier-benchmarks:rebeca/Alarm/Alarm.rebeca	inside-fragment	frontend-verdict	3	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
AutonomousVehicles	upstream	rebeca-lang.org:AutonomousVehicles.rebeca	exporter-refused	frontend-verdict	7	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;boolean-operator	sender;environmental-input;non-literal-delay	unsupported by the ReLico general parser bridge: environment variable 	not-measured	initialization;dispatch;finite-execution;conditional;expression-evaluation	negative
CheckpointBarrier2/CheckpointBarrier2	upstream	authored:CheckpointBarrier2/CheckpointBarrier2.rebeca	inside-fragment	frontend-verdict	2	reactive-class;state-vars;message-server;priority-annotation;delayed-send;conditional;self-send;constructor-arguments;arithmetic;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional;expression-evaluation	positive
Election/Election	upstream	lf-verifier-benchmarks:rebeca/Election/Election.rebeca	inside-fragment	frontend-verdict	6	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
Factorial/Factorial	upstream	lf-verifier-benchmarks:benchmarks/src/Factorial.lf	inside-fragment	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
Fibonacci/Fibonacci	upstream	lf-verifier-benchmarks:benchmarks/src/Fibonacci.lf	inside-fragment	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
LeasingNRPFD/LeasingNRPFD	upstream	rebeca-lang.org:LeasingNRPFD/LeasingNRPFD.rebeca	exporter-refused	frontend-verdict	2	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;boolean-operator	switch;array;increment-operator;byte-or-short;environmental-input;non-literal-delay	unsupported by the ReLico general parser bridge: environment variable 	not-measured	initialization;dispatch;finite-execution;conditional;expression-evaluation	negative
Minimal/Minimal	upstream	authored:Minimal/Minimal.rebeca	inside-fragment	frontend-verdict	1	reactive-class;state-vars;message-server;priority-annotation;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;conditional	positive
PingPong/PingPong	upstream	lf-verifier-benchmarks:rebeca/PingPong/PingPong.rebeca	inside-fragment	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
Pipe/Pipe	upstream	lf-verifier-benchmarks:benchmarks/src/Pipe.lf	inside-fragment	frontend-verdict	5	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
ProcessMsg/ProcessMsg	upstream	lf-verifier-benchmarks:benchmarks/src/ProcessMsg.lf	inside-fragment	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
Ring/Ring	upstream	lf-verifier-benchmarks:benchmarks/src/Ring.lf	inside-fragment	frontend-verdict	5	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
SafeSend/SafeSend	upstream	lf-verifier-benchmarks:benchmarks/src/SafeSend.lf	inside-fragment	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
Subway/Subway	upstream	lf-verifier-benchmarks:benchmarks/src/Subway.lf	inside-fragment	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
Thermostat/Thermostat	upstream	lf-verifier-benchmarks:benchmarks/src/Thermostat.lf	inside-fragment	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
TrafficLight/TrafficLight	upstream	lf-verifier-benchmarks:benchmarks/src/TrafficLight.lf	inside-fragment	frontend-verdict	3	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
TrainDoor/TrainDoor	upstream	lf-verifier-benchmarks:rebeca/TrainDoor/TrainDoor.rebeca	inside-fragment	frontend-verdict	5	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional	positive
TrainDoor2/TrainDoor2	upstream	lf-verifier-benchmarks:rebeca/TrainDoor2/TrainDoor2.rebeca	inside-fragment	frontend-verdict	6	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional;expression-evaluation	positive
TrainDoorFeedback/TrainDoorFeedback	upstream	lf-verifier-benchmarks:rebeca/TrainDoorFeedback/TrainDoorFeedback.rebeca	inside-fragment	frontend-verdict	8	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;boolean-operator	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional;expression-evaluation	positive
UnsafeSend/UnsafeSend	upstream	lf-verifier-benchmarks:benchmarks/src/UnsafeSend.lf	inside-fragment	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;self-send;constructor-arguments;arithmetic;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional;expression-evaluation	positive
WideBarrier24/WideBarrier24	upstream	authored:WideBarrier24/WideBarrier24.rebeca	inside-fragment	frontend-verdict	2	reactive-class;state-vars;message-server;priority-annotation;delayed-send;conditional;self-send;constructor-arguments;arithmetic;comparison	none	none	satisfied	initialization;dispatch;priority-selection;finite-execution;conditional;expression-evaluation	positive
benchmarks/Arithmetic_test	upstream	authored:benchmarks/Arithmetic_test.rebeca	exporter-refused	frontend-verdict	1	reactive-class;state-vars;message-server;priority-annotation;self-send;constructor-arguments;arithmetic;comparison;boolean-operator	compound-assignment	unsupported by the ReLico general parser bridge: the compound assignment operator += in constructor of TestArith (R16 admits	not-measured	initialization;dispatch;priority-selection;expression-evaluation	negative
benchmarks/Sender_and_Receiver	upstream	authored:benchmarks/Sender_and_Receiver.rebeca	inside-fragment	frontend-verdict	2	reactive-class;known-rebecs;message-server;priority-annotation;self-send;constructor-arguments	none	none	deadlock	initialization;dispatch;priority-selection	positive
benchmarks/env_example	upstream	authored:benchmarks/env_example.rebeca	exporter-refused	frontend-verdict	3	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;self-send;constructor-arguments;boolean-operator	iteration-while;environmental-input	unsupported by the ReLico general parser bridge: environment variable 	not-measured	initialization;dispatch;priority-selection	negative
benchmarks/hybrid	upstream	authored:benchmarks/hybrid.rebeca	exporter-refused	frontend-verdict	2	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;self-send;constructor-arguments	compound-assignment	upstream: Timed Rebeca parsing or semantic checking failed	not-measured	initialization;dispatch;priority-selection	negative
benchmarks/if_else_example	upstream	authored:benchmarks/if_else_example.rebeca	inside-fragment	frontend-verdict	3	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments	none	none	deadlock	initialization;dispatch;priority-selection;finite-execution;conditional	positive
benchmarks/node_and_switch_with_after	upstream	authored:benchmarks/node_and_switch_with_after.rebeca	inside-fragment	frontend-verdict	2	reactive-class;known-rebecs;message-server;priority-annotation;delayed-send;self-send;constructor-arguments	none	none	deadlock	initialization;dispatch;priority-selection;finite-execution	positive
benchmarks/node_and_switch_with_internal_after	upstream	authored:benchmarks/node_and_switch_with_internal_after.rebeca	inside-fragment	frontend-verdict	1	reactive-class;message-server;priority-annotation;delayed-send;self-send;constructor-arguments	none	none	deadlock	initialization;dispatch;priority-selection;finite-execution	positive
benchmarks/node_sw	upstream	authored:benchmarks/node_sw.rebeca	inside-fragment	frontend-verdict	3	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;self-send;constructor-arguments	none	none	deadlock	initialization;dispatch;priority-selection;finite-execution	positive
benchmarks/phils	upstream	authored:benchmarks/phils.rebeca	exporter-refused	frontend-verdict	2	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;conditional;else-branch;self-send;constructor-arguments;comparison;boolean-operator	sender	unsupported by the ReLico general parser bridge: A4: a read of the implicit sender in message server Philosopher.permit, who	not-measured	initialization;dispatch;priority-selection;conditional	negative
benchmarks/pingpong	upstream	authored:benchmarks/pingpong.rebeca	lean-refused	frontend-verdict	1	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;self-send;constructor-arguments;arithmetic;boolean-operator	none	general-v1: an assignment to a name that is not a state variable: msg in Node.sendMsg at line 19	not-measured	initialization;dispatch;priority-selection;finite-execution;expression-evaluation	negative
benchmarks/sensornetwork	upstream	rebeca-lang.org:benchmarks/sensornetwork.rebeca	exporter-refused	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison;boolean-operator	sender;byte-or-short	unsupported by the ReLico general parser bridge: a state variable of type byte in Sensor (D5 admits boolean, int) (line 8) 	not-measured	initialization;dispatch;priority-selection;finite-execution;conditional	negative
benchmarks/tcsma	upstream	rebeca-lang.org:benchmarks/tcsma.rebeca	inside-fragment	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison	none	none	queue-overflow	initialization;dispatch;priority-selection;finite-execution;conditional;expression-evaluation	positive
benchmarks/while_example	upstream	authored:benchmarks/while_example.rebeca	exporter-refused	frontend-verdict	3	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;self-send;constructor-arguments;boolean-operator	iteration-while	unsupported by the ReLico general parser bridge: a statement of an unsupported shape in message server Switch.rcvMsg2 (R14 a	not-measured	initialization;dispatch;priority-selection;finite-execution	negative
benchmarks/worker_sink	upstream	authored:benchmarks/worker_sink.rebeca	inside-fragment	frontend-verdict	2	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;self-send;constructor-arguments;arithmetic	none	none	deadlock	initialization;dispatch;priority-selection;finite-execution;expression-evaluation	positive
noc-prop/routings-detailed	upstream	rebeca-lang.org:noc-prop/routings-detailed.rebeca	exporter-refused	frontend-verdict	2	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;boolean-operator	array;byte-or-short;environmental-input;non-literal-delay	upstream: Timed Rebeca parsing or semantic checking failed	not-measured	initialization;dispatch;finite-execution;conditional;expression-evaluation	negative
sensornetwork	upstream	rebeca-lang.org:sensornetwork.rebeca	exporter-refused	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;boolean-operator;local-decl	sender;deadline;nondeterministic-choice;byte-or-short;non-literal-delay	unsupported by the ReLico general parser bridge: a state variable of type byte in Sensor (D5 admits int, boolean) (line 8) 	not-measured	initialization;dispatch;finite-execution;conditional;local-declaration;expression-evaluation	negative
smarthome/smarthome	upstream	authored:smarthome/smarthome.rebeca	exporter-refused	frontend-verdict	8	reactive-class;known-rebecs;state-vars;message-server;priority-annotation;delayed-send;conditional;else-branch;self-send;constructor-arguments;comparison;boolean-operator	environmental-input;non-literal-delay	unsupported by the ReLico general parser bridge: environment variable 	not-measured	initialization;dispatch;priority-selection;finite-execution;conditional	negative
tcsma	upstream	rebeca-lang.org:tcsma.rebeca	exporter-refused	frontend-verdict	4	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison	nondeterministic-choice	upstream: Timed Rebeca parsing or semantic checking failed	not-measured	initialization;dispatch;finite-execution;conditional;expression-evaluation	negative
ticket-service-prop/ticket-service	upstream	rebeca-lang.org:ticket-service-prop/ticket-service.rebeca	exporter-refused	frontend-verdict	3	reactive-class;known-rebecs;state-vars;message-server;delayed-send;self-send;constructor-arguments	sender;deadline;byte-or-short	unsupported by the ReLico general parser bridge: a state variable of type byte in Customer (D5 admits int, boolean) (line 6)	not-measured	initialization;dispatch;finite-execution	negative
ticketservice	upstream	rebeca-lang.org:ticketservice.rebeca	exporter-refused	frontend-verdict	3	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;self-send;constructor-arguments;comparison	deadline;byte-or-short	unsupported by the ReLico general parser bridge: a state variable of type byte in Customer (D5 admits int, boolean) (line 6)	not-measured	initialization;dispatch;finite-execution;conditional	negative
tinyos-prop/TinyOSPV6-MACB	upstream	rebeca-lang.org:tinyos-prop/TinyOSPV6-MACB.rebeca	exporter-refused	frontend-verdict	5	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;boolean-operator;local-decl	sender;nondeterministic-choice;compound-assignment;byte-or-short;environmental-input;non-literal-delay	unsupported by the ReLico general parser bridge: environment variable 	not-measured	initialization;dispatch;finite-execution;conditional;local-declaration;expression-evaluation	negative
tinyos-prop/TinyOSPV6-TDMA	upstream	rebeca-lang.org:tinyos-prop/TinyOSPV6-TDMA.rebeca	exporter-refused	frontend-verdict	5	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;boolean-operator;local-decl	sender;nondeterministic-choice;compound-assignment;byte-or-short;environmental-input;non-literal-delay	unsupported by the ReLico general parser bridge: environment variable 	not-measured	initialization;dispatch;finite-execution;conditional;local-declaration;expression-evaluation	negative
yarn-prop/yarn-deadline-fifo-1AMs	upstream	rebeca-lang.org:yarn-prop/yarn-deadline-fifo-1AMs.rebeca	exporter-refused	frontend-verdict	2	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;local-decl	iteration-while;array;sender;increment-operator;non-literal-delay	unsupported by the ReLico general parser bridge: a state variable of type int[2] in ResourceManager (D5 admits int, boolean)	not-measured	initialization;dispatch;finite-execution;conditional;local-declaration;expression-evaluation	negative
yarn-prop/yarn-deadline-fifo-2AMs	upstream	rebeca-lang.org:yarn-prop/yarn-deadline-fifo-2AMs.rebeca	exporter-refused	frontend-verdict	2	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;local-decl	iteration-while;array;sender;increment-operator;non-literal-delay	unsupported by the ReLico general parser bridge: a state variable of type int[3] in ResourceManager (D5 admits int, boolean)	not-measured	initialization;dispatch;finite-execution;conditional;local-declaration;expression-evaluation	negative
yarn-prop/yarn-deadline-fifo-3AMs	upstream	rebeca-lang.org:yarn-prop/yarn-deadline-fifo-3AMs.rebeca	exporter-refused	frontend-verdict	2	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;local-decl	iteration-while;array;sender;increment-operator;non-literal-delay	unsupported by the ReLico general parser bridge: a state variable of type int[4] in ResourceManager (D5 admits int, boolean)	not-measured	initialization;dispatch;finite-execution;conditional;local-declaration;expression-evaluation	negative
yarn-prop/yarn-deadline-fifo-4AMs	upstream	rebeca-lang.org:yarn-prop/yarn-deadline-fifo-4AMs.rebeca	exporter-refused	frontend-verdict	2	reactive-class;known-rebecs;state-vars;message-server;delayed-send;conditional;else-branch;self-send;constructor-arguments;arithmetic;comparison;local-decl	iteration-while;array;sender;increment-operator;non-literal-delay	unsupported by the ReLico general parser bridge: a state variable of type int[5] in ResourceManager (D5 admits int, boolean)	not-measured	initialization;dispatch;finite-execution;conditional;local-declaration;expression-evaluation	negative
